ident(String),type(String),name(String),elevation_ft(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String)
SIKS,heliport,Fazenda Mata Porcos Heliport,3031.0,SA,BR,BR-RJ,Petr贸polis,SIKS,SIKS
SIKT,heliport,Joaquim Floriano Heliport,2687.0,SA,BR,BR-SP,S茫o Paulo,SIKT,
SIKU,heliport,Northern Telecom do Brasil Ind煤stria e Com茅rcio LTDA Heliport,2159.0,SA,BR,BR-SP,Campinas,SIKU,
SIKV,heliport,Aldeia do Vale Heliport,2490.0,SA,BR,BR-GO,Goi芒nia,SIKV,
SIKW,heliport,Luciano Peixoto Heliport,2093.0,SA,BR,BR-GO,Piren贸polis,SIKW,
SIKX,small_airport,Fazenda Continental Airport,1476.0,SA,BR,BR-SP,Col么mbia,SIKX,
SIKY,small_airport,Fazenda Beira Rio Airport,2100.0,SA,BR,BR-MS,Costa Rica,SIKY,
SIKZ,small_airport,Fazenda Olho D`脕gua Airport,390.0,SA,BR,BR-MA,Parnarama,SIKZ,
SILA,small_airport,Fazenda Santa Ada Airport,1247.0,SA,BR,BR-MS,Jate铆,SILA,
SILB,small_airport,Aviador M谩rio Luiz Spinelli Airport,1247.0,SA,BR,BR-MT,Chapada Dos Guimar茫es,SILB,
SILC,small_airport,Municipal Bom Futuro Airport,1345.0,SA,BR,BR-MT,Lucas do Rio Verde,SILC,
SILD,small_airport,Fazenda Colorado Airport,512.0,SA,BR,BR-MS,Bodoquena,SILD,
SILE,heliport,Usina Trapiche Heliport,33.0,SA,BR,BR-PE,Sirinha茅m,SILE,
SILF,heliport,New Century Heliport,2691.0,SA,BR,BR-SP,S茫o Paulo,SILF,
SILG,small_airport,Fazenda Panam谩 Airport,1690.0,SA,BR,BR-MT,Sapezal,SILG,SILG
SILH,heliport,Parque Dom Pedro Heliport,2096.0,SA,BR,BR-SP,Campinas,SILH,
SILI,small_airport,Ilha dos Porcos Grandes Airport,197.0,SA,BR,BR-RJ,Angra Dos Reis,SILI,
SILJ,small_airport,Do Ga煤cho Airport,135.0,SA,BR,BR-AP,Laranjal Do Jari,SILJ,
SILK,heliport,O Estado de S茫o Paulo Heliport,2540.0,SA,BR,BR-SP,S茫o Paulo,SILK,
SILL,heliport,G谩lia Heliport,2517.0,SA,BR,BR-SP,S茫o Paulo,SILL,
SILM,small_airport,Fazenda Regalito Airport,1598.0,SA,BR,BR-GO,Flores De Goi谩s,SILM,
SILN,small_airport,Fazenda Rio Capim Airport,325.0,SA,BR,BR-PA,Paragominas,SILN,
SILO,heliport,CFAPP Heliport,2390.0,SA,BR,BR-SP,Guarulhos,SILO,
SILP,heliport,Lojas Cem Heliport,1982.0,SA,BR,BR-SP,Salto,SILP,
SILQ,small_airport,Clube de Ultraleves Aeroleve Airport,2132.0,SA,BR,BR-PR,Cascavel,SILQ,
SILR,heliport,One Hundred Heliport,2550.0,SA,BR,BR-SP,S茫o Paulo,SILR,
SILS,small_airport,脕gua Branca Airport,667.0,SA,BR,BR-PA,Itaituba,SILS,
SILT,small_airport,Fazenda Tr锚z Irm茫os Airport,1460.0,SA,BR,BR-SP,Santa F茅 Do Sul,SILT,
SILU,small_airport,Fazenda Cristo Airport,427.0,SA,BR,BR-MS,Miranda,SILU,
SILV,heliport,Locar Heliport,2720.0,SA,BR,BR-SP,Guarulhos,SILV,
SILW,small_airport,Fazenda Mata Assombrada Airport,912.0,SA,BR,BR-MS,Bela Vista,SILW,
SILX,small_airport,Fazenda Jandaia Airport,1070.0,SA,BR,BR-MT,Peixoto De Azevedo,SILX,
SILY,small_airport,Fazenda Tr锚s Marias Airport,1300.0,SA,BR,BR-PR,Vila Alta,SILY,
SILZ,small_airport,Fazenda Mariad Airport,1197.0,SA,BR,BR-BA,Juazeiro,SILZ,
SIMA,small_airport,Fazenda Mandior茅 Airport,299.0,SA,BR,BR-MS,Corumb谩,SIMA,
SIMB,closed,Monumental Business Heliport,2661.0,SA,BR,BR-SP,S茫o Caetano Do Sul,,
SIMC,heliport,FIC Heliport,1985.0,SA,BR,BR-SP,Paul铆nea,SIMC,
